Supplementary Table 7. Genes in DEPICT-defined loci,,,,,,,,,
Locus,Number of genes in locus,Chromosome and position,GWAS P-value,Ensembl gene ID,Gene symbol,Nominal P-value,Gene closest to lead SNP,FDR,
rs61997667;rs198262;rs698015,3,chr14:57267426-57618895,2.24E-13,ENSG00000258776,-,0.04,FALSE,<0.20,
rs893522;rs34659950;rs9833068;rs12374142,1,chr3:165490692-165555260,1.39E-09,ENSG00000114200,BCHE,0.05,TRUE,<0.20,
rs303752,4,chr18:20777719-21166451,1.47E-14,ENSG00000141452,C18orf8,0.05,TRUE,<0.20,
rs4680088,2,chr3:150570271-150798513,4.26E-06,ENSG00000239265,CLRN1-AS1,0.05,FALSE,<0.20,
rs3790609,6,chr1:113009163-113258099,8.35E-09,ENSG00000155366,RHOC,0.05,FALSE,<0.20,
rs737945;rs41282553;rs7288964,10,chr22:30116073-31521442,3.73E-16,ENSG00000100325,ASCC2,0.05,TRUE,<0.20,
rs7223311;rs2289762,2,chr17:78518619-78945013,1.77E-08,ENSG00000255691,-,0.05,TRUE,<0.20,
rs4378600,3,chr16:84087366-84212364,4.19E-06,ENSG00000140943,MBTPS1,0.05,TRUE,<0.20,
rs6435326;rs146752096,4,chr2:206858445-207082771,7.56E-11,ENSG00000114933,INO80D,0.05,FALSE,<0.20,
rs62109862;rs3786712;rs56160517,14,chr19:12873817-13068050,2.85E-11,ENSG00000179262,RAD23A,0.05,FALSE,<0.20,
rs1729412,1,chr2:201170604-201343253,4.05E-14,ENSG00000196141,SPATS2L,0.05,TRUE,<0.20,
rs117668569;rs12705877;rs9649359,1,chr7:112756773-112758668,3.49E-08,ENSG00000214194,-,0.05,TRUE,<0.20,
rs118093058;rs117862461;rs4034,31,chr11:62201016-63177766,3.78E-12,ENSG00000149489,ROM1,0.05,FALSE,<0.20,
rs12151248;rs118040169;rs7408934;rs56252104;rs79105431;rs62109939;rs11775;rs9941452,7,chr19:13080432-13265716,3.81E-11,ENSG00000104907,TRMT1,0.05,FALSE,<0.20,
rs78918150;rs79338951,1,chr2:118572226-118589955,4.26E-08,ENSG00000088205,DDX18,0.05,TRUE,<0.20,
rs76235882;rs7030373;rs10759961,1,chr9:121450030-121468238,4.52E-10,ENSG00000225050,-,0.05,TRUE,<0.20,
rs12076635;rs112361411;rs2428954;rs45605334;rs145155829;rs1198982;rs61768375;rs1362153;rs1999595;rs150833155,25,chr1:43629846-44497139,3.33E-34,ENSG00000179178,TMEM125,0.05,FALSE,<0.20,
rs4839155;rs1538389;rs2076586;rs197420,5,chr1:112084840-112531777,4.66E-12,ENSG00000064703,DDX20,0.05,FALSE,<0.20,
rs61997667;rs198262;rs698015,3,chr14:57267426-57618895,2.24E-13,ENSG00000248550,-,0.05,TRUE,<0.20,
rs73874335;rs79345545;rs698979,6,chr3:157823644-158450485,1.29E-09,ENSG00000243150,-,0.05,TRUE,<0.20,
rs35577195,3,chr6:89805678-89940997,1.40E-06,ENSG00000154548,SRSF12,0.05,FALSE,<0.20,
rs6917154,2,chr6:166822852-167319939,2.55E-09,ENSG00000235008,-,0.05,TRUE,<0.20,
rs9611597;rs9607859;rs4822112;rs148537066;rs2899355;rs2142695,35,chr22:41165634-42828401,2.30E-08,ENSG00000196236,XPNPEP3,0.05,FALSE,<0.20,
rs72828517;rs4712371;rs2744038,1,chr6:19612991-19614266,1.38E-19,ENSG00000214012,KRT18P38,0.05,TRUE,<0.20,
rs10903358,6,chr10:855484-1178237,1.01E-06,ENSG00000107937,GTPBP4,0.05,FALSE,<0.20,
rs12076635;rs112361411;rs2428954;rs45605334;rs145155829;rs1198982;rs61768375;rs1362153;rs1999595;rs150833155,25,chr1:43629846-44497139,3.33E-34,ENSG00000223526,-,0.05,FALSE,<0.20,
rs16888133,1,chr6:56322785-56819426,2.47E-07,ENSG00000151914,DST,0.05,TRUE,<0.20,
rs3111251;rs78365243,8,chr1:211431719-212208884,3.88E-10,ENSG00000117650,NEK2,0.05,FALSE,<0.20,
rs118093058;rs117862461;rs4034,31,chr11:62201016-63177766,3.78E-12,ENSG00000197901,SLC22A6,0.05,FALSE,<0.20,
rs12453682,9,chr17:37408897-37884915,1.81E-11,ENSG00000141744,PNMT,0.05,FALSE,<0.20,
rs12591647,6,chr15:65673802-66084631,7.78E-17,ENSG00000074696,PTPLAD1,0.05,FALSE,<0.20,
rs2271926,4,chr3:44916100-45187914,6.81E-06,ENSG00000163812,ZDHHC3,0.05,TRUE,<0.20,
rs1050847,3,chr16:87362944-87525651,9.20E-11,ENSG00000103264,FBXO31,0.05,FALSE,<0.20,
rs2183271,4,chr10:21783421-22292698,1.91E-08,ENSG00000204682,C10orf114,0.05,FALSE,<0.20,
rs4788115;rs4788080;rs4788106;rs240708,15,chr16:28477983-29002104,1.23E-28,ENSG00000169682,SPNS1,0.05,FALSE,<0.20,
rs78393250,14,chr11:47376411-48192393,1.79E-06,ENSG00000149177,PTPRJ,0.05,TRUE,<0.20,
rs72894808,1,chr2:172964167-172967628,4.82E-07,ENSG00000115844,DLX2,0.05,TRUE,<0.20,
rs6104345,12,chr20:44179792-44471914,6.61E-07,ENSG00000101457,DNTTIP1,0.05,FALSE,<0.20,
rs71607150;rs11732852;rs13138842,2,chr4:158125334-158497306,3.27E-07,ENSG00000234111,-,0.05,TRUE,<0.20,
rs3103307;rs11537608;rs62070648,12,chr17:28575223-29708905,2.04E-07,ENSG00000108587,GOSR1,0.05,FALSE,<0.20,
rs2406253;rs10241492;rs4134932,17,chr7:99699172-100092422,3.58E-14,ENSG00000121716,PILRB,0.05,FALSE,<0.20,
rs10800423,6,chr1:169074935-169455241,5.11E-06,ENSG00000143153,ATP1B1,0.05,FALSE,<0.20,
rs118093058;rs117862461;rs4034,31,chr11:62201016-63177766,3.78E-12,ENSG00000149016,TUT1,0.05,FALSE,<0.20,
rs755920,4,chr20:62329996-62462597,6.26E-06,ENSG00000101246,ARFRP1,0.05,FALSE,<0.20,
rs13275199;rs73693135,9,chr8:67579831-68658620,6.20E-07,ENSG00000165078,CPA6,0.05,FALSE,<0.20,
rs11774212,10,chr8:145674965-145911194,1.40E-19,ENSG00000160957,RECQL4,0.05,FALSE,<0.20,
rs6736025;rs12618801;rs2708147;rs1106090;rs3948495;rs60589532;rs115702033;rs17049820;rs60727365;rs965979;rs2192692;rs2953444;rs72802200,3,chr2:58134786-59290901,1.00E-10,ENSG00000115392,FANCL,0.05,FALSE,<0.20,
rs4298514;rs7011170;rs6983422;rs118174162,2,chr8:118532952-119124092,1.07E-11,ENSG00000164758,MED30,0.05,TRUE,<0.20,
rs11592299;rs3781339;rs12774577;rs10748841;rs76957677;rs2986016;rs1538205;rs146952142;rs138873813;rs3740409,22,chr10:104221149-105615301,8.69E-13,ENSG00000076685,NT5C2,0.05,TRUE,<0.20,
rs11030102;rs11030084,5,chr11:27387508-27899195,4.60E-10,ENSG00000245573,BDNF-AS1,0.05,FALSE,<0.20,
rs2303929;rs55813292,9,chr7:150642049-150841523,1.34E-07,ENSG00000164896,FASTK,0.05,FALSE,<0.20,
rs4984613;rs8032157,10,chr15:64199235-65067786,7.76E-10,ENSG00000103671,TRIP4,0.05,FALSE,<0.20,
rs11597723,2,chr10:122521324-122669036,1.40E-06,ENSG00000120008,WDR11,0.05,TRUE,<0.20,
rs113357284,2,chr20:37377085-37551667,8.17E-06,ENSG00000101442,ACTR5,0.05,TRUE,<0.20,
rs148526428;rs145480052,17,chr12:110288959-111180744,4.87E-07,ENSG00000122970,IFT81,0.06,FALSE,<0.20,
rs11588857;rs884108,4,chr1:204391756-204654861,4.45E-31,ENSG00000133056,PIK3C2B,0.06,FALSE,<0.20,
rs117946421,4,chr19:2164148-2256422,9.16E-06,ENSG00000167476,JSRP1,0.06,FALSE,<0.20,
rs10783243;rs79359351,8,chr12:48366748-48745197,5.80E-11,ENSG00000079387,SENP1,0.06,FALSE,<0.20,
rs8077038,9,chr17:79523915-79688041,1.70E-06,ENSG00000182446,NPLOC4,0.06,FALSE,<0.20,
rs10249075,5,chr7:77166592-77586818,4.04E-06,ENSG00000214293,-,0.06,FALSE,<0.20,
rs73136483;rs35801031,2,chr12:98906751-98944157,7.43E-07,ENSG00000257167,-,0.06,FALSE,<0.20,
rs1841023;rs11941112;rs59212303,1,chr4:164031225-164088073,1.64E-09,ENSG00000145414,NAF1,0.06,TRUE,<0.20,
rs1076035,1,chr6:164124936-164180873,5.75E-06,ENSG00000235538,-,0.06,TRUE,<0.20,
rs6672986;rs6425305;rs114720347;rs76160630;rs146693799,16,chr1:173386932-174992561,6.42E-11,ENSG00000120333,MRPS14,0.06,FALSE,<0.20,
rs1408430;rs6043521;rs8122234;rs2423844;rs2050405;rs6043944;rs764467;rs1015581;rs6079578;rs775114,5,chr20:13976015-16567338,7.09E-10,ENSG00000089177,KIF16B,0.06,TRUE,<0.20,
rs144908022,19,chr11:64590859-64902004,4.21E-06,ENSG00000168061,SAC3D1,0.06,FALSE,<0.20,
rs2358628;rs75896367;rs75304016;rs3759747,9,chr14:74289262-74826711,1.78E-09,ENSG00000205659,LIN52,0.06,TRUE,<0.20,
rs6736025;rs12618801;rs2708147;rs1106090;rs3948495;rs60589532;rs115702033;rs17049820;rs60727365;rs965979;rs2192692;rs2953444;rs72802200,3,chr2:58134786-59290901,1.00E-10,ENSG00000028116,VRK2,0.06,TRUE,<0.20,
rs17848939,3,chr17:80036215-80197369,1.52E-07,ENSG00000176155,CCDC57,0.06,FALSE,<0.20,
rs7495033,9,chr15:75041184-75249805,5.92E-10,ENSG00000103653,CSK,0.06,FALSE,<0.20,
rs3790609,6,chr1:113009163-113258099,8.35E-09,ENSG00000116489,CAPZA1,0.06,FALSE,<0.20,
rs114352120,7,chr5:64813593-65167553,2.80E-07,ENSG00000123219,CENPK,0.06,FALSE,<0.20,
rs11545169,5,chr3:183852826-184402546,1.55E-07,ENSG00000145191,EIF2B5,0.06,FALSE,<0.20,
rs7513100,1,chr1:198126093-198291550,4.26E-07,ENSG00000151414,NEK7,0.06,TRUE,<0.20,
rs1934363,2,chr10:28811581-28909928,8.23E-08,ENSG00000254635,-,0.06,FALSE,<0.20,
rs13296345;rs989615,1,chr9:14734664-14910993,5.35E-10,ENSG00000164946,FREM1,0.06,FALSE,<0.20,
rs3928799,1,chr13:88096247-88323514,6.40E-06,ENSG00000228824,MIR4500HG,0.06,TRUE,<0.20,
rs721579;rs56319902;rs538628;rs143699161;rs11657021,14,chr17:43340488-44896082,5.81E-33,ENSG00000185294,-,0.06,TRUE,<0.20,
rs7299842;rs11043298;rs10773208;rs12810587;rs78440611;rs11058322;rs10773002;rs34436758;rs10773515;rs12811983;rs112365238;rs61955089;rs146898200,26,chr12:122457328-124083116,2.50E-30,ENSG00000086598,TMED2,0.06,FALSE,<0.20,
rs12568267;rs11589736,4,chr1:220141943-220445796,1.47E-06,ENSG00000067704,IARS2,0.06,FALSE,<0.20,
rs62109862;rs3786712;rs56160517,14,chr19:12873817-13068050,2.85E-11,ENSG00000104889,RNASEH2A,0.06,TRUE,<0.20,
rs10783243;rs79359351,8,chr12:48366748-48745197,5.80E-11,ENSG00000187166,H1FNT,0.06,TRUE,<0.20,
rs1047586,7,chr7:149941005-150109558,2.86E-07,ENSG00000127399,LRRC61,0.06,FALSE,<0.20,
rs12568153,2,chr1:213123862-213189168,3.52E-09,ENSG00000174606,ANGEL2,0.06,FALSE,<0.20,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000245532,NEAT1,0.06,FALSE,<0.20,
rs11157931,5,chr14:23369854-23479375,3.86E-22,ENSG00000100802,C14orf93,0.06,FALSE,<0.20,
rs79523955,6,chr1:28696114-28969597,3.79E-09,ENSG00000180098,TRNAU1AP,0.06,FALSE,<0.20,
rs2416759;rs10984798,3,chr9:123363091-123605229,1.45E-09,ENSG00000095261,PSMD5,0.06,FALSE,<0.20,
rs114352120,7,chr5:64813593-65167553,2.80E-07,ENSG00000113597,C5orf44,0.06,FALSE,<0.20,
rs9888796;rs62059344;rs255053;rs111965666;rs3868142,51,chr16:67143915-68601039,1.20E-12,ENSG00000141084,RANBP10,0.06,FALSE,<0.20,
rs2077235;rs8046072;rs34167944,6,chr16:3493682-3767565,5.20E-09,ENSG00000126602,TRAP1,0.06,TRUE,<0.20,
rs2186213,1,chr6:49325859-49328093,4.71E-06,ENSG00000219374,-,0.06,TRUE,<0.20,
rs35401683,1,chr6:52226219-52272575,4.65E-06,ENSG00000170915,PAQR8,0.06,TRUE,<0.20,
rs12571549;rs7899270;rs60726488,3,chr10:111624524-111895323,1.45E-13,ENSG00000108039,XPNPEP1,0.06,TRUE,<0.20,
rs6571742,1,chr14:36767770-36789882,1.11E-07,ENSG00000151332,MBIP,0.06,TRUE,<0.20,
rs35104491;rs1206133;rs76218411;rs118009134,3,chr6:97245888-97588630,6.81E-12,ENSG00000186231,KLHL32,0.06,TRUE,<0.20,
rs6972278,2,chr7:94463216-94925727,5.88E-06,ENSG00000219807,ARF1P1,0.06,FALSE,<0.20,
rs2183271,4,chr10:21783421-22292698,1.91E-08,ENSG00000180592,C10orf140,0.07,FALSE,<0.20,
rs10761202;rs111370527,4,chr9:95947198-96328397,4.28E-10,ENSG00000227603,-,0.07,TRUE,<0.20,
rs139244147;rs12113634;rs187701119,3,chr7:111846643-112121072,7.71E-11,ENSG00000198839,ZNF277,0.07,TRUE,<0.20,
rs3111251;rs78365243,8,chr1:211431719-212208884,3.88E-10,ENSG00000123684,LPGAT1,0.07,FALSE,<0.20,
rs79523955,6,chr1:28696114-28969597,3.79E-09,ENSG00000120656,TAF12,0.07,FALSE,<0.20,
rs11258469;rs118010342,3,chr10:13628927-14504141,3.15E-06,ENSG00000151474,FRMD4A,0.07,TRUE,<0.20,
rs117946421,4,chr19:2164148-2256422,9.16E-06,ENSG00000104885,DOT1L,0.07,TRUE,<0.20,
rs12464368,13,chr2:27505260-27746554,8.64E-07,ENSG00000115211,EIF2B4,0.07,FALSE,<0.20,
rs151359,3,chr20:57594309-57617964,1.22E-06,ENSG00000124172,ATP5E,0.07,TRUE,<0.20,
rs2054257;rs6469218,2,chr8:110098850-110346614,1.22E-07,ENSG00000120526,NUDCD1,0.07,FALSE,<0.20,
rs4788115;rs4788080;rs4788106;rs240708,15,chr16:28477983-29002104,1.23E-28,ENSG00000176476,CCDC101,0.07,TRUE,<0.20,
rs111235962;rs76133558,5,chr1:20808884-20978004,2.21E-08,ENSG00000158828,PINK1,0.07,FALSE,<0.20,
rs11640569,1,chr16:48572639-48644120,2.77E-08,ENSG00000102921,N4BP1,0.07,TRUE,<0.20,
rs58197197,4,chr19:52430688-52531680,8.47E-07,ENSG00000176024,ZNF613,0.07,FALSE,<0.20,
rs1327710,1,chr1:230778235-230829728,1.32E-06,ENSG00000135775,COG2,0.07,TRUE,<0.20,
rs4416502,3,chr4:76932337-77135046,4.38E-06,ENSG00000138760,SCARB2,0.07,FALSE,<0.20,
rs4405299;rs10831656;rs4612800;rs11603153,1,chr11:11292423-11643552,3.10E-09,ENSG00000110328,GALNTL4,0.07,TRUE,<0.20,
rs1671770;rs1718188;rs10774563;rs113473640,18,chr12:120881764-121623876,9.05E-12,ENSG00000248008,-,0.07,TRUE,<0.20,
rs1408430;rs6043521;rs8122234;rs2423844;rs2050405;rs6043944;rs764467;rs1015581;rs6079578;rs775114,5,chr20:13976015-16567338,7.09E-10,ENSG00000213950,RPS10P2,0.07,TRUE,<0.20,
rs12028010;rs2364544;rs11209894;rs72665647,5,chr1:41445007-41849262,9.78E-23,ENSG00000171793,CTPS,0.07,FALSE,<0.20,
rs12948240;rs10163513,1,chr17:2319352-2415200,4.42E-06,ENSG00000127804,METTL16,0.07,TRUE,<0.20,
rs12613500;rs260058;rs13026866,1,chr2:180809603-180871840,4.82E-12,ENSG00000163510,CWC22,0.07,TRUE,<0.20,
rs62109862;rs3786712;rs56160517,14,chr19:12873817-13068050,2.85E-11,ENSG00000179218,CALR,0.07,FALSE,<0.20,
rs6435326;rs146752096,4,chr2:206858445-207082771,7.56E-11,ENSG00000227946,-,0.07,TRUE,<0.20,
rs575113;rs12119154,9,chr1:109852192-110155679,7.52E-18,ENSG00000134183,GNAT2,0.07,FALSE,<0.20,
rs6428152,5,chr1:192984889-193223031,5.23E-06,ENSG00000116750,UCHL5,0.07,FALSE,<0.20,
rs42210;rs12659776;rs17069646;rs2569041;rs7709334;rs9313415;rs35613923;rs72835052,2,chr5:166711804-167899308,2.74E-10,ENSG00000113645,WWC1,0.07,TRUE,<0.20,
rs4919624;rs73344830;rs118079769;rs11190955;rs11596387;rs61874089;rs11191206;rs117104675;rs3781292;rs118059379;rs75709864,21,chr10:103113820-104192418,1.00E-32,ENSG00000107859,PITX3,0.07,FALSE,<0.20,
rs9927842,3,chr16:15068599-15233195,6.22E-11,ENSG00000085721,RRN3,0.07,FALSE,<0.20,
rs12619019;rs138094079;rs11690765,5,chr2:202937978-203634480,1.10E-07,ENSG00000055044,NOP58,0.07,FALSE,<0.20,
rs62018216;rs7170325,1,chr15:51200869-51298097,4.83E-09,ENSG00000081014,AP4E1,0.07,TRUE,<0.20,
rs34298584;rs11082220;rs72900102,1,chr18:39535171-39667794,3.67E-09,ENSG00000078142,PIK3C3,0.07,TRUE,<0.20,
rs10962552,1,chr9:16416404-16870841,1.95E-06,ENSG00000173068,BNC2,0.07,TRUE,<0.20,
rs1149713,2,chr10:77029577-77161664,3.58E-07,ENSG00000165655,ZNF503,0.07,FALSE,<0.20,
rs4788115;rs4788080;rs4788106;rs240708,15,chr16:28477983-29002104,1.23E-28,ENSG00000178952,TUFM,0.07,FALSE,<0.20,
rs118093058;rs117862461;rs4034,31,chr11:62201016-63177766,3.78E-12,ENSG00000133316,WDR74,0.07,FALSE,<0.20,
rs73125247,1,chr5:74323289-74326724,2.93E-06,ENSG00000176928,GCNT4,0.07,TRUE,<0.20,
rs12151248;rs118040169;rs7408934;rs56252104;rs79105431;rs62109939;rs11775;rs9941452,7,chr19:13080432-13265716,3.81E-11,ENSG00000104915,STX10,0.08,TRUE,<0.20,
rs7593100;rs72890352,4,chr2:183698002-184026408,8.95E-08,ENSG00000163002,NUP35,0.08,FALSE,<0.20,
rs7007784,2,chr8:73921099-74036323,7.65E-07,ENSG00000164764,C8orf84,0.08,FALSE,<0.20,
rs4984613;rs8032157,10,chr15:64199235-65067786,7.76E-10,ENSG00000028528,SNX1,0.08,FALSE,<0.20,
rs77702819;rs2942884;rs4850954;rs13426934;rs142219120,3,chr2:101436614-101869328,4.17E-14,ENSG00000246943,-,0.08,TRUE,<0.20,
rs11663602;rs12970264;rs62103198;rs611517,8,chr18:77623668-78005429,9.27E-17,ENSG00000141759,TXNL4A,0.08,FALSE,<0.20,
rs7151406,6,chr14:50575350-50883179,5.98E-06,ENSG00000100483,METTL21D,0.08,FALSE,<0.20,
rs35550545;rs188415602;rs12718416;rs192569608;rs144581493,33,chr1:149900543-151098018,1.04E-07,ENSG00000143458,GABPB2,0.08,FALSE,<0.20,
rs73405293,1,chr12:117476728-117537284,7.42E-09,ENSG00000088992,TESC,0.08,TRUE,<0.20,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000172508,CARNS1,0.08,FALSE,<0.20,
rs912883;rs9394816,2,chr6:41462591-41570122,6.20E-09,ENSG00000137166,FOXP4,0.08,FALSE,<0.20,
rs4735297;rs754275,2,chr8:95499921-95565757,1.62E-08,ENSG00000212997,-,0.08,FALSE,<0.20,
rs11709770,1,chr3:135684515-135866733,1.89E-06,ENSG00000073711,PPP2R3A,0.08,TRUE,<0.20,
rs1539985,1,chr18:58038564-58040001,4.92E-07,ENSG00000166603,MC4R,0.08,TRUE,<0.20,
rs9888796;rs62059344;rs255053;rs111965666;rs3868142,51,chr16:67143915-68601039,1.20E-12,ENSG00000102898,NUTF2,0.08,FALSE,<0.20,
rs72486027;rs527801,1,chr11:107197071-107328572,1.61E-10,ENSG00000152404,CWF19L2,0.08,TRUE,<0.20,
rs1087329,1,chr4:14113592-14141676,3.68E-06,ENSG00000248698,-,0.08,TRUE,<0.20,
rs4352658,4,chr6:88117701-88411927,1.71E-13,ENSG00000135336,ORC3,0.08,FALSE,<0.20,
rs737945;rs41282553;rs7288964,10,chr22:30116073-31521442,3.73E-16,ENSG00000100319,ZMAT5,0.08,FALSE,<0.20,
rs2336721;rs6802671;rs77321042,20,chr3:52350335-53226733,1.05E-10,ENSG00000163938,GNL3,0.08,FALSE,<0.20,
rs4984682,16,chr16:616995-818865,1.82E-16,ENSG00000127578,WFIKKN1,0.08,FALSE,<0.20,
rs7147473;rs1956981;rs17096758;rs58622005;rs9888616;rs1955768;rs12882145;rs35039832,3,chr14:30045687-31042835,6.33E-12,ENSG00000257636,-,0.08,FALSE,<0.20,
rs58779949;rs11231643,24,chr11:63606400-64139687,3.84E-09,ENSG00000173511,VEGFB,0.08,FALSE,<0.20,
rs7299842;rs11043298;rs10773208;rs12810587;rs78440611;rs11058322;rs10773002;rs34436758;rs10773515;rs12811983;rs112365238;rs61955089;rs146898200,26,chr12:122457328-124083116,2.50E-30,ENSG00000188026,RILPL1,0.08,FALSE,<0.20,
rs34137944,4,chr3:58318607-58523046,3.69E-07,ENSG00000168297,PXK,0.08,FALSE,<0.20,
rs11174399;rs1146079;rs11173930,4,chr12:62102040-62991363,2.42E-10,ENSG00000135655,USP15,0.08,TRUE,<0.20,
rs730384;rs7154563,9,chr14:74872596-75370448,9.38E-13,ENSG00000119689,DLST,0.08,FALSE,<0.20,
rs6672986;rs6425305;rs114720347;rs76160630;rs146693799,16,chr1:173386932-174992561,6.42E-11,ENSG00000120334,CENPL,0.08,FALSE,<0.20,
rs7855503;rs10780614,6,chr9:86237964-86618985,2.39E-09,ENSG00000178966,RMI1,0.09,FALSE,<0.20,
rs12440468,9,chr15:40820882-41099675,9.61E-07,ENSG00000137812,CASC5,0.09,FALSE,<0.20,
rs2910823;rs27220;rs72755130;rs981230;rs79798166;rs4283754;rs13361043;rs4647102;rs10223052;rs77505016;rs79009682;rs6449503;rs79855925;rs9291710;rs112282911;rs293021;rs74913791;rs72757182;rs76981775;rs62370504;rs153384;rs138236239;rs16890369;rs141883478;rs11958102;rs7719721;rs115583034,12,chr5:57878048-61047590,1.84E-39,ENSG00000178722,C5orf64,0.09,TRUE,<0.20,
rs12746551;rs1418609;rs141196516,5,chr1:113933371-114430169,1.44E-09,ENSG00000116793,PHTF1,0.09,FALSE,<0.20,
rs2314338;rs118101047;rs507671;rs112199584,9,chr17:38278790-38613983,9.50E-09,ENSG00000131759,RARA,0.09,FALSE,<0.20,
rs1904828,2,chr8:109213445-109499145,6.97E-07,ENSG00000104408,EIF3E,0.09,FALSE,<0.20,
rs72672052,1,chr8:116420724-116821899,4.87E-08,ENSG00000104447,TRPS1,0.09,TRUE,<0.20,
rs2680758;rs10461357,6,chr4:57036361-57390058,2.20E-07,ENSG00000128050,PAICS,0.09,FALSE,<0.20,
rs77581390,1,chr5:158122924-158526788,5.65E-08,ENSG00000164330,EBF1,0.09,TRUE,<0.20,
rs111821073;rs4743729,4,chr9:99082988-99382112,1.58E-10,ENSG00000081377,CDC14B,0.09,FALSE,>0.20,
rs12927907,2,chr16:11772943-11891099,6.87E-06,ENSG00000122299,ZC3H7A,0.09,FALSE,>0.20,
rs1007731,1,chr14:37049216-37051812,1.05E-10,ENSG00000136327,NKX2-8,0.09,TRUE,>0.20,
rs9977825;rs79585412;rs117727881,7,chr21:46491648-46725172,3.37E-10,ENSG00000215447,-,0.09,FALSE,>0.20,
rs17411339;rs2043187;rs2298656;rs1671269;rs141586924;rs1502219;rs79162241;rs12959714;rs117027853;rs3964628,6,chr18:49867158-51908404,5.10E-23,ENSG00000134046,MBD2,0.09,FALSE,>0.20,
rs6712856,10,chr2:219283815-219680016,2.83E-07,ENSG00000115556,PLCD4,0.09,FALSE,>0.20,
rs17732878,6,chr17:7328935-7417933,4.06E-08,ENSG00000170175,CHRNB1,0.09,TRUE,>0.20,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000254986,DPP3,0.09,FALSE,>0.20,
rs34363861,5,chr2:73300510-73511559,8.69E-10,ENSG00000135617,PRADC1,0.09,FALSE,>0.20,
rs4888010,1,chr16:74330673-74344205,3.29E-06,ENSG00000103035,PSMD7,0.09,TRUE,>0.20,
rs737945;rs41282553;rs7288964,10,chr22:30116073-31521442,3.73E-16,ENSG00000235989,MORC2-AS1,0.09,TRUE,>0.20,
rs2332179;rs11720985;rs16833165,8,chr3:121902530-122294050,2.76E-09,ENSG00000160124,CCDC58,0.09,TRUE,>0.20,
rs57148205;rs72964692,1,chr2:225629807-225907162,5.17E-09,ENSG00000135905,DOCK10,0.09,TRUE,>0.20,
rs730384;rs7154563,9,chr14:74872596-75370448,9.38E-13,ENSG00000119616,FCF1,0.09,FALSE,>0.20,
rs4810894;rs141979783,6,chr20:47538275-47905797,4.38E-09,ENSG00000177410,ZNFX1-AS1,0.09,FALSE,>0.20,
rs75943566,6,chr3:159974774-160396233,1.59E-06,ENSG00000213186,TRIM59,0.09,FALSE,>0.20,
rs6951996,3,chr7:96594839-96654409,1.41E-08,ENSG00000105880,DLX5,0.09,FALSE,>0.20,
rs6861925;rs481998,3,chr5:176307870-176508190,1.76E-10,ENSG00000087206,UIMC1,0.09,FALSE,>0.20,
rs76779794,1,chr4:101107027-101111939,6.72E-06,ENSG00000145358,DDIT4L,0.09,TRUE,>0.20,
rs12601380,7,chr17:34842479-34965397,7.42E-09,ENSG00000108278,ZNHIT3,0.09,FALSE,>0.20,
rs1054442;rs80257979;rs11168951;rs11168828,15,chr12:49297286-49692465,1.10E-20,ENSG00000139537,CCDC65,0.09,FALSE,>0.20,
rs118093058;rs117862461;rs4034,31,chr11:62201016-63177766,3.78E-12,ENSG00000168003,SLC3A2,0.09,TRUE,>0.20,
rs2929860,3,chr3:128598439-128759585,1.33E-09,ENSG00000114656,KIAA1257,0.09,FALSE,>0.20,
rs73075037,2,chr20:3088219-3140842,2.90E-07,ENSG00000185019,UBOX5,0.1,TRUE,>0.20,
rs7999579,4,chr13:113812968-113977987,6.20E-06,ENSG00000126226,PCID2,0.1,TRUE,>0.20,
rs917726,3,chr7:120965421-121038821,6.71E-07,ENSG00000213310,-,0.1,FALSE,>0.20,
rs151359,3,chr20:57594309-57617964,1.22E-06,ENSG00000101166,SLMO2,0.1,FALSE,>0.20,
rs17627501,1,chr5:2745959-2752969,1.25E-07,ENSG00000170561,IRX2,0.1,TRUE,>0.20,
rs12405889,3,chr1:235490665-235667781,2.30E-12,ENSG00000152904,GGPS1,0.1,FALSE,>0.20,
rs62007773,1,chr15:69755365-69863775,2.49E-07,ENSG00000245750,-,0.1,TRUE,>0.20,
rs10943588;rs12193597,2,chr6:79577189-79787953,1.05E-08,ENSG00000146243,IRAK1BP1,0.1,TRUE,>0.20,
rs8077038,9,chr17:79523915-79688041,1.70E-06,ENSG00000185298,CCDC137,0.1,FALSE,>0.20,
rs4731413;rs10244329;rs75278839;rs140291167;rs4731392;rs10239419;rs53125,7,chr7:126986844-127897681,5.08E-14,ENSG00000048405,ZNF800,0.1,TRUE,>0.20,
